time,temp_ref,temp_old_logger,temp_new_logger,Row,Anomaly_new_log_ref,Anomaly_old_log_ref,Anomaly_new_log_old_log
2023-05-18T14:00:00Z,13.2,13.75,13.469520103761347,503,0.26952010376134794,0.5500000000000007,-0.28047989623865277
2023-05-18T14:10:00Z,13.3,14.038,13.621728847180895,504,0.32172884718089456,0.7379999999999995,-0.416271152819105
2023-05-18T14:20:00Z,13.7,14.517,14.15579461356527,505,0.4557946135652706,0.8170000000000002,-0.36120538643472955
2023-05-18T14:30:00Z,13.6,14.517,14.059662775616085,506,0.45966277561608493,0.9169999999999998,-0.4573372243839149
2023-05-18T14:40:00Z,13.7,14.134,13.792629892423896,507,0.09262989242389708,0.43400000000000105,-0.341370107576104
2023-05-18T14:50:00Z,13.3,14.134,13.872739757381552,508,0.5727397573815516,0.8339999999999996,-0.26126024261844805
2023-05-18T15:00:00Z,13.3,14.23,13.928816662851908,509,0.6288166628519072,0.9299999999999997,-0.30118333714809253
2023-05-18T15:20:00Z,13.7,14.804,14.639124132143133,510,0.9391241321431334,1.104000000000001,-0.1648758678568676
2023-05-18T15:30:00Z,13.9,14.421,14.147783627069508,511,0.24778362706950752,0.520999999999999,-0.2732163729304915
2023-05-18T15:50:00Z,13.5,14.421,14.02761882963302,512,0.5276188296330204,0.9209999999999994,-0.39338117036697895
2023-05-18T16:00:00Z,13.7,14.134,13.75524528877699,513,0.055245288776990975,0.43400000000000105,-0.3787547112230101
2023-05-18T16:20:00Z,13.3,14.038,13.73922331578546,514,0.43922331578546014,0.7379999999999995,-0.2987766842145394
2023-05-18T16:30:00Z,13.4,13.75,13.386739909971771,515,-0.013260090028229143,0.34999999999999964,-0.3632600900282288
2023-05-18T16:40:00Z,13.2,13.654,13.533607995727472,516,0.3336079957274727,0.4540000000000006,-0.12039200427252794
2023-05-18T16:50:00Z,13.3,13.558,13.341344319829098,517,0.04134431982909703,0.2579999999999991,-0.2166556801709021
2023-05-18T17:00:00Z,13.2,13.461,13.181124589913786,518,-0.018875410086213407,0.261000000000001,-0.2798754100862144
2023-05-18T17:10:00Z,12.9,13.365,13.138399328603036,519,0.2383993286030357,0.46499999999999986,-0.22660067139696416
2023-05-18T17:20:00Z,13,13.365,13.181124589913786,520,0.18112458991378588,0.3650000000000002,-0.18387541008621433
2023-05-18T17:30:00Z,12.8,13.269,13.151750972762647,521,0.35175097276264644,0.4689999999999994,-0.11724902723735298
2023-05-18T17:40:00Z,12.8,13.076,12.86335545891508,522,0.06335545891507977,0.2759999999999998,-0.21264454108492004
2023-05-18T17:50:00Z,12.7,13.076,12.986190585183486,523,0.28619058518348695,0.3760000000000012,-0.08980941481651428
2023-05-18T18:00:00Z,12.8,12.98,12.809948882276643,524,0.009948882276642479,0.17999999999999972,-0.17005111772335724
2023-05-18T18:10:00Z,12.6,12.98,12.756542305638206,525,0.15654230563820626,0.3800000000000008,-0.22345769436179452
2023-05-18T18:20:00Z,12.6,12.787,12.620355535210194,526,0.02035553521019473,0.18700000000000117,-0.16664446478980643
2023-05-18T18:30:00Z,12.5,12.69,12.529564354924853,527,0.029564354924852765,0.1899999999999995,-0.16043564507514674
2023-05-18T18:40:00Z,12.4,12.594,12.4868390936141,528,0.08683909361409903,0.19399999999999906,-0.10716090638590003
2023-05-18T18:50:00Z,12.4,12.497,12.36934462500954,529,-0.030655374990461226,0.09699999999999953,-0.12765537499046076
2023-05-18T19:00:00Z,12.2,12.401,12.294575417715729,530,0.09457541771572942,0.2010000000000005,-0.1064245822842711
2023-05-18T19:10:00Z,12.2,12.401,12.227817196917677,531,0.027817196917677478,0.2010000000000005,-0.17318280308232303
2023-05-18T19:20:00Z,12.2,12.304,12.137026016632332,532,-0.06297398336766769,0.10400000000000098,-0.16697398336766867
2023-05-18T19:30:00Z,12,12.207,12.072938124666209,533,0.07293812466620864,0.20700000000000074,-0.1340618753337921
2023-05-18T19:40:00Z,12,12.207,12.06225680933852,534,0.0622568093385194,0.20700000000000074,-0.14474319066148134
2023-05-18T19:50:00Z,12,12.11,12.024872205691617,535,0.024872205691616855,0.10999999999999943,-0.08512779430838258
2023-05-18T20:00:00Z,12.2,12.11,11.984817273212784,536,-0.21518272678721573,-0.08999999999999986,-0.12518272678721587
2023-05-18T20:10:00Z,11.9,12.013,11.92072938124666,537,0.02072938124666024,0.11299999999999955,-0.0922706187533393
2023-05-18T20:20:00Z,11.8,12.013,11.878004119935907,538,0.0780041199359065,0.2129999999999992,-0.1349958800640927
2023-05-18T20:30:00Z,11.9,12.013,11.899366750591284,539,-6.33249408716452e-4,0.11299999999999955,-0.113633249408716
2023-05-18T20:40:00Z,11.8,12.013,11.89402609292744,540,0.09402609292743946,0.2129999999999992,-0.11897390707255973
